0,1,2
abecede,n, ABC
abelgan,v, to make angry
abeodan,v, to proclaim
aberan,v, to bear
aberendlic,adj, bearable
abidan,v, to wait (+genitive for something)
abrastlian,vi, to resound
abrecan,vt, to break
abredwian,v, to lay low
abreoþan,v, to degenerate
abroþennes,n, dulness
abugan,v, to bow
ac,n, oak (wood or tree)
acan,v, to ache
accent,n, an accent
acennan,v, to beget
acennedlic,adj, native
acierran,v, to turn away
acnyssan,v, to expel
acol,adj, frightened
acumendlic,adj, tolerable
acwelan,vi, to die
acwelaþ,v, 123 plural present indicative 
acwele,v, first-person singular present indicative 
acweorna,n, squirrel
acweorran,v, to glut
acweþan,v, to say
acwician,v, to quicken
acwinan,v, to dwindle
acwincan,v, to become extinguished
acwæle,v, second-person singular past indicative 
acyrrednes,n, aversion
ad,n, fire
adeadian,v, to die
adeliht,adj, filthy
ademan,v, to judge
adesa,n, adze
adihtan,v, to edit
adilegian,v, to destroy (utterly)
adl,n, disease
adlig,adj, sick
adrencan,vt, to drown someone
adreogan,v, to act
adrincan,vi, to drown
adælan,v, to part
afaran,v, to depart
afigen,adj, fried
afol,n, power
afon,v, to receive
afor,adj, bitter
afremdan,v, to alienate
afremdung,n, alienation
afulic,adj, perverse
afyllan,v, to fill (with)
agalan,v, to sing
agan,v, to own
agangan,v, to come to pass
agen,adj, own
agend,n, owner
agendfrea,n, owner
agengecyrran,v, to turn again
agengehweorfan,v, to change again
agenslaga,n, suicidee (one who kills oneself)
agenspræc,n, idiom
agenung,n, an owning
agiefan,v, to give back
agiemeleasian,v, to neglect
agnettan,v, to appropriate
agnian,v, to claim possession
agrapian,v, to handle
agrisan,vi, to shudder
ahabban,v, to support
ahatan,v, to call
aheardian,v, to harden
aheardung,n, hardening
aheawan,v, to chop
ahebban,v, to heave or lift up
ahierdan,v, to harden
ahierding,n, hardening
ahleoþrian,v, to sound
ahliehhan,v, to laugh at
ahon,v, to hang
ahreran,v, to move
ahycgan,v, to devise
al,n, fire
alan,v, to nourish
alecgan,vt, to lay down
alfæt,n, a cooking vessel
aliefan,v, to allow
aliesan,v, to detach
alimpan,v, to happen
all,adj, all
alor,n, alder
amarian,v, to amaze
amasian,v, to amaze
ambeaht,n, servant (West Saxon)
ambeht,n, service
ambehtan,v, to serve
amber,n, bucket
ambiht,n, servant
amearcian,v, to mark out
ametan,v, to measure
ametendlic,adj, measurable
